승리는 가장 끈기 있는 자에게 돌아간다.,-나폴레옹-,
성공은 99%의 노력과 1%의 영감으로 이루어진다.,-토머슨 에디슨-
나약한 태도는 성격도 나약하게 만든다.,-아인슈타인-
시작이 반이다,-아리스토텔레스-,
일은 해보면 쉬운법이다. 그럼에도 시작은 하지 않고 어렵다고만 생각하기에 할 수 있는 일들을 놓친다.,-맹자-
변명 중에서도 가장 어리석고 못난 변명은 '시간이 없어서' 라는 변명이다.,-토머슨 에디슨-
거리낌 없이 한  시간을 낭비하는 사람은 아직 삶의 가치를 발견하지 못한 사람이다.,찰스다윈-
사람은 망설이지만 시간은 망설이지 않는다. 잃어버린 시간은 되돌아오지 않는다., -벤자민 프랭클린-
반성하지 않는 삶은 살 가치가 없다.,-소크라테스-
인간은 선척적으로는 거의 비슷하나 후천적으로 큰 차이가 나게 된다.,-공자-
세상은 고통으로 가득하지만 한편 그것을 이겨내는 일로도 가득차 있다.,-헬렌 켈러-
오늘을 즐겨라.,-카르페 디엠-






